Genesymbol_phosphosite,Gene,Log2change,p-value,adj_pvalue
LARP7_S8,LARP7,-0.58380869304407,5.72e-12,3.23370666666667e-10
FHOD1_S1,FHOD1,-1.72731959525855,5.99e-12,3.32932173913043e-10
CN37_S6,CN37,-1.33521513071432,6.02e-12,3.32932173913043e-10
ARVC_S1,ARVC,-1.00694196559173,8.19e-12,4.48072258064516e-10
NPM_S22,NPM,-1.18091296761975,8.6e-12,4.6057e-10
CHD8_S3,CHD8,-0.69813842546956,8.65e-12,4.6057e-10
FLNA_S4,FLNA,-2.42795227560216,8.69e-12,4.6057e-10
CP8B1_S13,CP8B1,-2.66928852051874,1.02e-11,5.29567346938775e-10
PCDH1_S14,PCDH1,1.50442190135258,1.02e-11,5.29567346938775e-10
DEN5B_Y1,DEN5B,-1.18227415833399,1.05e-11,5.39328e-10
AHNK_S1,AHNK,-2.58628442728237,1.06e-11,5.39328e-10
PROX1_S5,PROX1,-0.892591722938529,1.08e-11,5.44063366336634e-10
TLN1_T2,TLN1,-1.49903977538121,1.13e-11,5.63670588235294e-10
KANK1_S3,KANK1,-1.78741848667409,1.17e-11,5.77292307692308e-10
PKP4_S3,PKP4,1.27036117798045,1.18e-11,5.77292307692308e-10
RBP2_S3,RBP2,-1.89243671419582,1.2e-11,5.81485714285714e-10
ZO1_S1,ZO1,-0.809656248055894,1.28e-11,6.144e-10
DEN1A_S1,DEN1A,-0.854030938078412,1.36e-11,6.40711111111111e-10
PEBP1_S5,PEBP1,-1.30540472133311,1.36e-11,6.40711111111111e-10
TRAD1_S3,TRAD1,-1.18694302845492,1.4e-11,6.53504587155963e-10
PTSS2_S9,PTSS2,0.798520622006275,1.46e-11,6.75316363636364e-10
PUM2_S3,PUM2,-0.73111517238547,1.58e-11,7.24237837837838e-10
UGPA_S8,UGPA,-1.29201650477727,1.66e-11,7.54114285714286e-10
HS90A_S5,HS90A,-1.56332981234594,1.71e-11,7.69953982300885e-10
TBCD5_S3,TBCD5,-2.09644908224305,1.78e-11,7.94442105263158e-10
TRA2A_T2,TRA2A,-1.38817955517347,1.83e-11,8.02675862068966e-10
TRA2B_T2,TRA2B,-1.38817955517347,1.83e-11,8.02675862068966e-10
LMNA_S1,LMNA,-0.813839704701895,1.92e-11,8.34953846153846e-10
I2BP1_S3,I2BP1,-0.505196826556877,2.23e-11,9.61545762711864e-10
SNX2_S1,SNX2,-1.90961253177393,2.34e-11,1.0004974789916e-09
TB182_S1,TB182,-0.970602245813035,2.69e-11,1.14056e-09
LYRIC_S6,LYRIC,-1.2403498649463,2.74e-11,1.15215867768595e-09
ROA1_S3,ROA1,-0.816604959906683,2.87e-11,1.19693114754098e-09
FLCN_S3,FLCN,-0.306309481112272,3.31e-11,1.36920975609756e-09
PROX1_S4,PROX1,-0.478430903753426,3.35e-11,1.3717248e-09
PEA15_S7,PEA15,2.05600171053207,3.37e-11,1.3717248e-09
FND3A_S3,FND3A,-1.15110851190555,3.41e-11,1.37699047619048e-09
AKAP1_S3,AKAP1,-1.70614750075996,3.53e-11,1.41422362204724e-09
HNRL2_S9,HNRL2,-2.24499894748265,3.69e-11,1.466775e-09
NMT1_S4,NMT1,-0.428050240803232,4.03e-11,1.58950697674419e-09
HN1L_S9,HN1L,-1.53977399047604,4.21e-11,1.64772923076923e-09
AKAP2_S1,AKAP2,-0.94303469156785,4.41e-11,1.71283053435115e-09
MY18A_S7,MY18A,-1.22305457050191,4.6e-11,1.77309090909091e-09
BORG5_S2,BORG5,-1.63891689411508,4.64e-11,1.77506165413534e-09
ANS1A_S3,ANS1A,-1.36338198438933,5.22e-11,1.98204179104478e-09
H11_T2,H11,-1.39582205597367,5.76e-11,2.09334857142857e-09
H12_T2,H12,-1.39582205597367,5.76e-11,2.09334857142857e-09
H13_T2,H13,-1.39582205597367,5.76e-11,2.09334857142857e-09
H14_T2,H14,-1.39582205597367,5.76e-11,2.09334857142857e-09
H15_T2,H15,-1.39582205597367,5.76e-11,2.09334857142857e-09
H1T_T2,H1T,-1.39582205597367,5.76e-11,2.09334857142857e-09
MY18A_S3,MY18A,-1.64360014795773,6.25e-11,2.24156643356643e-09
SRBS2_S3,SRBS2,-1.37238534318208,6.26e-11,2.24156643356643e-09
SRSF2_S1_S3,SRSF2,-1.92901352289556,6.3e-11,2.24156643356643e-09
SYNPO_S3,SYNPO,0.563304122185661,6.38e-11,2.25426666666667e-09
DEN4C_S2,DEN4C,-2.02785164447958,7.49e-11,2.62821517241379e-09
PKHA5_S3,PKHA5,1.44976345338296,8.27e-11,2.88203835616438e-09
SRBS1_S2,SRBS1,-2.31242727922981,9.59e-11,3.31931428571429e-09
IQGA2_S4,IQGA2,-0.950328314604218,1.05e-10,3.60972972972973e-09
BIG2_S21,BIG2,1.0200354784277,1.07e-10,3.65379865771812e-09
CP8B1_S11,CP8B1,-3.4594316186373,1.16e-10,3.93472e-09
SRSF2_S9,SRSF2,-1.10892625340665,1.26e-10,4.24561589403974e-09
VIME_S1,VIME,-3.23439727143908,1.27e-10,4.25115789473684e-09
SC61B_S16,SC61B,2.40112883061943,1.45e-10,4.82196078431373e-09
LAR4B_S3,LAR4B,-0.589311180991251,1.51e-10,4.98888311688312e-09
RTN4_S4,RTN4,1.02681891758865,1.61e-10,5.28495483870968e-09
TOP2B_S4,TOP2B,1.22941130678283,1.63e-10,5.31630769230769e-09
OSB11_S4,OSB11,-1.2040898091529,1.72e-10,5.568e-09
UBA1_S3,UBA1,-1.69821871120134,1.73e-10,5.568e-09
ADDA_S4,ADDA,-0.940822813212452,1.74e-10,5.568e-09
AHNK_S3,AHNK,1.81190146198862,1.78e-10,5.6604e-09
MTMRC_S3,MTMRC,-1.21731380265803,1.87e-10,5.90966459627329e-09
FCHO2_S12,FCHO2,0.651045978685854,2.16e-10,6.784e-09
SRRM2_S5,SRRM2,-0.573506196377497,2.21e-10,6.88741463414634e-09
CCNK_S5,CCNK,-0.413489270296163,2.22e-10,6.88741463414634e-09
HD_S30,HD,1.47039207572449,2.27e-10,6.99985454545454e-09
UBP2L_S9,UBP2L,0.935211481582601,2.36e-10,7.2335421686747e-09
IF4G1_S4,IF4G1,-1.64846684309002,2.42e-10,7.37302994011976e-09
SSRA_S28,SSRA,0.704626603321673,2.61e-10,7.90457142857143e-09
AKP13_S3,AKP13,1.5975882448995,2.64e-10,7.94811834319527e-09
UGDH_S7,UGDH,-2.88292841562225,2.99e-10,8.94889411764706e-09
ACLY_T1,ACLY,-1.57877436687098,3.47e-10,1.03247719298246e-08
ENL_S1,ENL,-1.86070997617008,3.61e-10,1.05853793103448e-08
CLMN_S4,CLMN,-2.12602393927657,3.62e-10,1.05853793103448e-08
SNX2_S3,SNX2,-1.3061408615375,3.62e-10,1.05853793103448e-08
CTNB1_S4,CTNB1,1.45778224703279,3.69e-10,1.06674545454545e-08
SC22B_S9,SC22B,-1.90609812371854,3.69e-10,1.06674545454545e-08
RBM14_S1,RBM14,1.2878989160965,3.75e-10,1.07796610169492e-08
PLSL_S2,PLSL,-0.926841306411475,3.78e-10,1.08048539325843e-08
SPTN1_S9,SPTN1,-1.05680337516723,4.16e-10,1.1824625698324e-08
CTND1_S2,CTND1,-1.85260315825913,4.69e-10,1.31838232044199e-08
DKC1_S14,DKC1,-0.98008102831933,4.69e-10,1.31838232044199e-08
TOP2B_S3,TOP2B,-0.906953865555036,4.74e-10,1.32343606557377e-08
ZYX_S1,ZYX,-1.26553875748076,4.76e-10,1.32343606557377e-08
HSPB1_S4,HSPB1,-1.99377876749356,4.81e-10,1.33006956521739e-08
TGFI1_S1,TGFI1,-1.62125585046457,4.86e-10,1.33663135135135e-08
PEX1_S3,PEX1,-1.77810348733357,5.08e-10,1.38962580645161e-08
MAP4_S3,MAP4,1.55278927437146,5.44e-10,1.48014545454545e-08
RAVR1_T31,RAVR1,0.757057262836697,5.59e-10,1.51286808510638e-08
TRI25_S5,TRI25,-0.428342089518964,5.82e-10,1.56678095238095e-08
NUMBL_S3,NUMBL,1.77975077149887,6.08e-10,1.62816e-08
HNRPC_S4,HNRPC,-0.737414224756936,6.34e-10,1.6854e-08
UBP10_S3,UBP10,-1.46397048308852,6.36e-10,1.6854e-08
CLASR_S7,CLASR,-0.649481751890746,6.46e-10,1.70303005181347e-08
ANCHR_S2,ANCHR,-0.814304942904858,6.72e-10,1.7624412371134e-08
FABPL_S5,FABPL,-1.55974599459889,7.84e-10,2.04039183673469e-08
SRSF1_S6,SRSF1,-0.831023485973216,7.86e-10,2.04039183673469e-08
TB182_S3,TB182,0.711831635226484,7.91e-10,2.04294822335025e-08
ADDA_S9,ADDA,-0.609451266387387,8.1e-10,2.08122211055276e-08
NFIA_S3,NFIA,-1.43478599985663,8.14e-10,2.08122211055276e-08
4ET_S1,4ET,-1.3134201786404,8.49e-10,2.159856e-08
AR6P6_T5,AR6P6,-1.39330753752402,8.71e-10,2.2048e-08
HAP28_S5,HAP28,-1.10821947651409,8.76e-10,2.20647920792079e-08
EMAL3_S4,EMAL3,1.03091725776723,9.06e-10,2.27080197044335e-08
PEBP1_T4,PEBP1,-1.48419894775751,9.38e-10,2.33948235294118e-08
SRRM2_T15,SRRM2,-0.709742474381482,9.56e-10,2.36456811594203e-08
DSRAD_S8,DSRAD,1.15119753036872,9.62e-10,2.36456811594203e-08
GPAT3_S2,GPAT3,-1.42009334144031,9.62e-10,2.36456811594203e-08
MAP1B_S7,MAP1B,1.65547178441603,9.77e-10,2.38989230769231e-08
ATX2_T3,ATX2,1.55959030010809,1.02e-09,2.48313875598086e-08
SYNPO_S4,SYNPO,1.50790152375576,1.07e-09,2.59245714285714e-08
CAAP1_S1,CAAP1,-0.897317729867819,1.13e-09,2.72485308056872e-08
LIMD1_S1,LIMD1,-1.73147786717316,1.25e-09,3e-08
DDX23_S3,DDX23,-1.35086940771711,1.28e-09,3.05757746478873e-08
PB1_S3,PB1,-2.02766020502905,1.31e-09,3.11461682242991e-08
SHOT1_S7,SHOT1,-1.07577379932136,1.33e-09,3.14746046511628e-08
ZC3HD_S1,ZC3HD,-0.89583694697332,1.34e-09,3.15644444444444e-08
F134C_S3,F134C,-2.0425236183938,1.43e-09,3.35292165898618e-08
ARGL1_S3,ARGL1,0.373105918109479,1.5e-09,3.50091743119266e-08
SIN1_S3,SIN1,1.7050982564404,1.58e-09,3.67079452054794e-08
P5I11_S2,P5I11,-1.71869496289614,1.6e-09,3.70036363636364e-08
AHNK_S9,AHNK,1.4205532882625,1.66e-09,3.8217556561086e-08
RBM33_S5,RBM33,-0.554256388645906,1.71e-09,3.91913513513514e-08
ATX2L_S6,ATX2L,0.603702706000114,1.8e-09,4.08857142857143e-08
LCP2_S14,LCP2,1.03666719541527,1.8e-09,4.08857142857143e-08
SRBS2_S15,SRBS2,-0.876644897427498,1.81e-09,4.09301333333333e-08
KAP2_S3,KAP2,-0.812194638102658,1.83e-09,4.11992920353982e-08
TPIS_S6,TPIS,-1.35961594432141,1.89e-09,4.23626431718062e-08
MILK2_S21,MILK2,1.4567348173963,1.92e-09,4.28463157894737e-08
LRC8A_S3,LRC8A,0.799054858549144,2.07e-09,4.59919650655022e-08
XRN2_S2,XRN2,-0.824906931080575,2.11e-09,4.66768695652174e-08
GPC5C_S5,GPC5C,-1.59564549242351,2.14e-09,4.69324137931034e-08
SRRM1_T1_S3,SRRM1,-0.438945857168215,2.14e-09,4.69324137931034e-08
SRS11_S10,SRS11,-0.573939721701096,2.15e-09,4.6949356223176e-08
MYPT1_S4,MYPT1,-0.873884081759716,2.17e-09,4.71835897435898e-08
TR150_S5,TR150,-0.637308987032588,2.52e-09,5.45606808510638e-08
SC16B_S7,SC16B,-0.997864563509216,2.6e-09,5.60542372881356e-08
TNS2_S3,TNS2,-0.789162914111258,2.86e-09,6.13994936708861e-08
RBM39_S3,RBM39,-0.326342654622946,2.95e-09,6.30655462184874e-08
C170B_S3,C170B,-1.1478945051308,2.97e-09,6.32274476987448e-08
ZN639_S3,ZN639,-1.52520487351968,3e-09,6.36e-08
RBM14_S4,RBM14,1.17934960466404,3.09e-09,6.52361825726141e-08
AKTS1_S1,AKTS1,1.66524052672451,3.12e-09,6.55973553719008e-08
MAST4_S1,MAST4,-1.08553083428792,3.17e-09,6.63743209876543e-08
SRRM1_S5,SRRM1,1.90178587950636,3.45e-09,7.19409836065574e-08
GOGA5_S3,GOGA5,0.839324604674234,3.49e-09,7.24780408163265e-08
PRP4B_S3,PRP4B,-0.567405528747928,3.59e-09,7.42517073170732e-08
ZRAB2_S7,ZRAB2,-0.990638657152282,3.68e-09,7.5805020242915e-08
TB182_S4,TB182,-1.32176703040271,3.72e-09,7.632e-08
CORO7_S1,CORO7,-1.81590803322226,3.8e-09,7.76481927710843e-08
CAP1_S14,CAP1,1.19417219989328,3.86e-09,7.855872e-08
DPYS_S1,DPYS,-2.65674403114418,3.93e-09,7.96647011952191e-08
AB1IP_S2,AB1IP,1.99314086122945,3.96e-09,7.99542857142857e-08
PSMD4_T2,PSMD4,-1.34488129830028,4.2e-09,8.44648221343874e-08
AKAP1_S4,AKAP1,-2.01317072524056,4.32e-09,8.63962352941176e-08
K1C18_S3,K1C18,-2.34900495402288,4.33e-09,8.63962352941176e-08
LMNA_S7,LMNA,1.5209398181446,4.35e-09,8.645625e-08
ITSN1_S14,ITSN1,-1.10269639617614,4.49e-09,8.8546976744186e-08
TNS2_S1,TNS2,-1.68594587107449,4.49e-09,8.8546976744186e-08
PDLI2_S1,PDLI2,-1.62097313847635,4.51e-09,8.85979922779923e-08
MECP2_S3,MECP2,-2.5294176539674,4.68e-09,9.1584e-08
HNRL2_S3,HNRL2,2.42543237686037,4.73e-09,9.2207816091954e-08
MP2K4_T1,MP2K4,-1.20308922608676,5.02e-09,9.74876335877863e-08
PRKRA_S3,PRKRA,-3.07580853507869,5.26e-09,1.01567272727273e-07
ALBU_S16,ALBU,1.90285111969444,5.27e-09,1.01567272727273e-07
STAT3_S18,STAT3,0.662715137084525,5.31e-09,1.01951278195489e-07
TLN2_T5,TLN2,-0.880556094684659,5.33e-09,1.01951278195489e-07
ITSN2_S8,ITSN2,-0.260831876418661,5.54e-09,1.05571235955056e-07
GFPT2_Y1,GFPT2,-0.833904985236914,5.71e-09,1.08404776119403e-07
HMGN3_S3,HMGN3,-1.99128860362726,5.74e-09,1.08569219330855e-07
BORC7_S1,BORC7,-1.39037762078179,6.15e-09,1.15893333333333e-07
MYPT1_S1,MYPT1,-1.03420105647272,6.78e-09,1.27293874538745e-07
CTGE4_S3,CTGE4,-1.30422799123543,7.44e-09,1.36168057553957e-07
CTGE5_S3,CTGE5,-1.30422799123543,7.44e-09,1.36168057553957e-07
CTGE6_S3,CTGE6,-1.30422799123543,7.44e-09,1.36168057553957e-07
CTGE8_S3,CTGE8,-1.30422799123543,7.44e-09,1.36168057553957e-07
CTGE9_S3,CTGE9,-1.30422799123543,7.44e-09,1.36168057553957e-07
CTGEF_S3,CTGEF,-1.30422799123543,7.44e-09,1.36168057553957e-07
MIA2_S3,MIA2,-1.30422799123543,7.44e-09,1.36168057553957e-07
UBR4_S3,UBR4,-2.26279972103401,7.7e-09,1.40421505376344e-07
DHCR7_S3,DHCR7,-2.15205538746959,7.77e-09,1.41192e-07
AHNK_S2,AHNK,-1.21544354425814,7.92e-09,1.43257872340426e-07
STX17_S4,STX17,-1.67781413369959,7.94e-09,1.43257872340426e-07
AMPD2_S3,AMPD2,0.75146584701603,8.12e-09,1.45987844522968e-07
RS10L_S7,RS10L,-0.803268509839775,8.31e-09,1.48355368421053e-07
RS10_S7,RS10,-0.803268509839775,8.31e-09,1.48355368421053e-07
AAKB1_S1,AAKB1,-1.05710971629085,8.36e-09,1.48726153846154e-07
FOXK1_S6,FOXK1,-0.806503845111023,8.43e-09,1.49448919860627e-07
CBX3_S3,CBX3,1.17165047892499,8.8e-09,1.55466666666667e-07
CTNB1_S1,CTNB1,-0.816790925393715,9.23e-09,1.62499100346021e-07
NDRG2_S3,NDRG2,-0.987439006043938,9.4e-09,1.64921379310345e-07
VIME_S4,VIME,-2.4158296597124,9.86e-09,1.72397525773196e-07
XRCC1_S11_T17,XRCC1,-0.418138390419616,1.08e-08,1.88186301369863e-07
GEPH_S4,GEPH,-2.04345365242843,1.09e-08,1.89280546075085e-07
ASSY_Y1,ASSY,-1.33136267100753,1.15e-08,1.99020408163265e-07
AKAP2_S3,AKAP2,-0.929936814023336,1.19e-08,2.03862626262626e-07
MTMR3_S3,MTMR3,-1.02085025696124,1.19e-08,2.03862626262626e-07
PEA15_S9,PEA15,2.36307548513843,1.19e-08,2.03862626262626e-07
ODPA_Y1,ODPA,-1.77577139059463,1.25e-08,2.13422818791946e-07
HNRPU_S3,HNRPU,-1.4639785558986,1.27e-08,2.1611237458194e-07
SYNE1_S3,SYNE1,2.28706100165629,1.33e-08,2.25568e-07
SRBS2_S13,SRBS2,-1.23691522747306,1.35e-08,2.28199335548173e-07
DCAF8_S5,DCAF8,-0.852516067943672,1.36e-08,2.29128476821192e-07
DSG2_S2,DSG2,-1.86775258943428,1.4e-08,2.35089108910891e-07
PROX1_S6,PROX1,-0.982304999599055,1.45e-08,2.41888524590164e-07
VINC_S3,VINC,-1.74198751247343,1.45e-08,2.41888524590164e-07
UIMC1_S3,UIMC1,-1.07844088209473,1.47e-08,2.44423529411765e-07
USF1_S5,USF1,1.35332945729962,1.51e-08,2.5025667752443e-07
K2C8_T17,K2C8,0.632122054385657,1.52e-08,2.51096103896104e-07
PALLD_S3,PALLD,-1.90868392950729,1.55e-08,2.55223300970874e-07
PAXI_S9,PAXI,0.808134295910354,1.58e-08,2.59323870967742e-07
DNJC5_S3,DNJC5,-1.05114466186958,1.63e-08,2.66670096463023e-07
BCLF1_S10,BCLF1,0.681635074246826,1.67e-08,2.72338461538462e-07
SRRM1_S4_T8,SRRM1,-0.232131058315966,1.68e-08,2.7309392971246e-07
E41L2_S1,E41L2,-1.10288939732798,1.72e-08,2.78705732484076e-07
SC31A_S11,SC31A,2.27796665342155,1.77e-08,2.85897142857143e-07
ARHG7_S2,ARHG7,1.79801520350409,1.8e-08,2.89822784810127e-07
I2BPL_S3,I2BPL,-1.05426431707988,1.88e-08,3.01748895899054e-07
ODPA_T5,ODPA,-1.75085688770722,1.91e-08,3.0528e-07
EF1D_S19,EF1D,-0.684201659323153,1.92e-08,3.0528e-07
NRDC_S3,NRDC,-1.81713741862348,1.92e-08,3.0528e-07
CBX3_S1,CBX3,-1.40365556475196,2.01e-08,3.17604968944099e-07
NPM_S4,NPM,-1.03228098257364,2.01e-08,3.17604968944099e-07
ERMP1_S3,ERMP1,0.659399748182701,2.1e-08,3.30798761609907e-07
K1C18_S10,K1C18,-1.40681962914705,2.12e-08,3.32918518518519e-07
PHRF1_S3,PHRF1,-0.829416665561633,2.13e-08,3.33459692307692e-07
NF1_S1,NF1,-0.871519381005744,2.18e-08,3.40240490797546e-07
F262_S3,F262,0.79300336286226,2.25e-08,3.50091743119266e-07
MAST4_S3,MAST4,0.779855385372055,2.29e-08,3.55229268292683e-07
ACACB_S3,ACACB,-1.31047899698619,2.31e-08,3.57242553191489e-07
ZRAB2_S6,ZRAB2,-0.775703078356468,2.34e-08,3.60785454545455e-07
DHCR7_S1,DHCR7,-2.50693973079369,2.36e-08,3.62769788519637e-07
ARHG2_S3,ARHG2,1.78098670859543,2.37e-08,3.63209638554217e-07
UN13B_S3,UN13B,1.03215966116367,2.52e-08,3.85037837837838e-07
MAP4_S6,MAP4,-2.71225296617768,2.7e-08,4.11305389221557e-07
EXOC1_T5,EXOC1,-1.36949386589807,2.86e-08,4.34378507462687e-07
NUCKS_S6,NUCKS,-2.56101935115812,2.87e-08,4.346e-07
NEK6_S11,NEK6,1.28972927675542,2.88e-08,4.34820178041543e-07
AMPD2_S1,AMPD2,0.987871207744455,3.04e-08,4.56269026548673e-07
GLCE_S3,GLCE,-0.339341361463092,3.04e-08,4.56269026548673e-07
RBM25_S6,RBM25,1.17160505798496,3.07e-08,4.59416470588235e-07
ILK_T3,ILK,1.83769466933688,3.13e-08,4.67021700879765e-07
ELYS_S2,ELYS,-1.43224273180549,3.35e-08,4.98385964912281e-07
DEMA_S3,DEMA,-0.942080003822644,3.37e-08,4.99899708454811e-07
BCLF1_T2,BCLF1,-1.35019813037368,3.59e-08,5.30986046511628e-07
ZCHC8_S3,ZCHC8,-1.1093384743151,3.68e-08,5.4272e-07
AAPK1_S1,AAPK1,-1.29118726894405,3.78e-08,5.55856647398844e-07
ZYX_S14,ZYX,0.788375982246231,4.08e-08,5.98243227665706e-07
BOK_S3,BOK,1.78454998408018,4.21e-08,6.15531034482759e-07
M3K11_S18,M3K11,0.90452745038761,4.31e-08,6.28346131805158e-07
NP1L4_S18,NP1L4,-1.1029300082477,4.37e-08,6.35273142857143e-07
NOSIP_S3,NOSIP,1.26952887671365,4.4e-08,6.37811965811966e-07
EIF3G_S10,EIF3G,0.881060124910477,4.49e-08,6.49009090909091e-07
NPM_S14,NPM,-0.557980758957175,4.63e-08,6.67349575070822e-07
FBP1L_T1,FBP1L,-1.44642911177705,4.71e-08,6.76962711864407e-07
PNISR_S3,PNISR,0.724217971645164,4.75e-08,6.80788732394366e-07
LMNB2_T6,LMNB2,-1.1615223330662,4.79e-08,6.84593258426966e-07
PHRF1_S5,PHRF1,-1.22854448171379,5e-08,7.12035754189944e-07
BCLF1_S1,BCLF1,1.45064323402325,5.01e-08,7.12035754189944e-07
HNRPD_S13,HNRPD,-0.219439436485152,5.12e-08,7.25642339832869e-07
CTR9_S5,CTR9,-0.672138999268001,5.15e-08,7.27866666666667e-07
